/M1/D (Wp=2e-06) X,/M1/D (Wp=2e-06) Y,/M1/D (Wp=3.6e-06) X,/M1/D (Wp=3.6e-06) Y,/M1/D (Wp=5.2e-06) X,/M1/D (Wp=5.2e-06) Y,/M1/D (Wp=6.8e-06) X,/M1/D (Wp=6.8e-06) Y,/M1/D (Wp=8.4e-06) X,/M1/D (Wp=8.4e-06) Y,/M1/D (Wp=1e-05) X,/M1/D (Wp=1e-05) Y
0,-3.578449020089427e-10,0,-6.441150902414248e-10,0,-9.303801823854202e-10,0,-1.21664017871759e-09,0,-1.502895079513757e-09,0,-1.789144885049683e-09
0.04,4.279239068343267e-05,0.04,7.691858498074536e-05,0.04,0.0001110450091724123,0.04,0.0001451713503948086,0.04,0.000179297534705461,0.04,0.0002134235355789352
0.08,7.841618627528052e-05,0.08,0.0001409212713640029,0.08,0.0002034268544744745,0.08,0.000265932323088904,0.08,0.0003284375324389206,0.08,0.0003909424305897999
0.12,0.0001073280005405981,0.12,0.0001928307269032339,0.12,0.0002783342418168381,0.12,0.0003638376439703793,0.12,0.0004493407203291389,0.12,0.0005348433944655404
0.16,0.0001299808495455846,0.16,0.0002334641781278452,0.16,0.0003369486033263858,0.16,0.0004404329399677472,0.16,0.0005439169078960607,0.16,0.0006474004065980501
0.2,0.0001468872110075973,0.2,0.000263749231052086,0.2,0.0003806126927966067,0.2,0.0004974761130975966,0.2,0.0006143391412755415,0.2,0.0007312016514991616
0.24,0.0001587920814908742,0.24,0.0002850411453442096,0.24,0.0004112920932328247,0.24,0.0005375430871355865,0.24,0.0006637936922920155,0.24,0.000790043752671003
0.28,0.0001669363891604202,0.28,0.0002995972176413599,0.28,0.0004322604553405596,0.28,0.0005649238655840785,0.28,0.0006975869193896636,0.28,0.0008302494269229936
0.32,0.0001728626725814206,0.32,0.0003102015028083108,0.32,0.000447543157892625,0.32,0.0005848850926872149,0.32,0.0007222267056130802,0.32,0.0008595677808424864
0.36,0.0001776899388917094,0.36,0.0003188537553583144,0.36,0.0004600206486031049,0.36,0.0006011878868154022,0.36,0.0007423548245568728,0.36,0.0008835212303073248
0.4,0.0001819622546635213,0.4,0.0003265204496104174,0.4,0.0004710818742468382,0.4,0.0006156436816926355,0.4,0.0007602051994609282,0.4,0.000904766186351844
0.4399999999999999,0.0001859224082202246,0.4399999999999999,0.0003336323913439145,0.4399999999999999,0.0004813457046484549,0.4399999999999999,0.0006290594232691287,0.4399999999999999,0.0007767728563726973,0.4399999999999999,0.0009244857561913469
0.4799999999999999,0.0001896899684934781,0.4799999999999999,0.0003404019329184322,0.4799999999999999,0.0004911172983634421,0.4799999999999999,0.0006418330827021186,0.4799999999999999,0.0007925485816198848,0.4799999999999999,0.0009432635425209292
0.5199999999999999,0.0001933314250945423,0.5199999999999999,0.0003469472873640487,0.5199999999999999,0.0005005666034236216,0.5199999999999999,0.0006541863465872545,0.5199999999999999,0.0008078058020427478,0.5199999999999999,0.0009614247134337562
