/M1/D X,/M1/D Y
0,-3.578449020089427e-10
0.04,4.279239068343267e-05
0.08,7.841618627528052e-05
0.12,0.0001073280005405981
0.16,0.0001299808495455846
0.2,0.0001468872110075973
0.24,0.0001587920814908742
0.28,0.0001669363891604202
0.32,0.0001728626725814206
0.36,0.0001776899388917094
0.4,0.0001819622546635213
0.4399999999999999,0.0001859224082202246
0.4799999999999999,0.0001896899684934781
0.5199999999999999,0.0001933314250945423
0.5599999999999999,0.0001968874031995288
0.6,0.0002003844607039803
0.64,0.0002038408372684541
0.68,0.0002072695374707694
0.7200000000000001,0.0002106801109155714
0.7600000000000001,0.0002140797403388929
0.8000000000000002,0.0002174739376139484
0.8400000000000002,0.0002208670056300533
0.8800000000000002,0.0002242623542931709
0.9200000000000003,0.0002276627223398906
0.9600000000000003,0.0002310703364619326
1,0.0002344870275917786
1.04,0.0002379143172355081
1.08,0.0002413534824407837
1.12,0.0002448056052602248
1.16,0.0002482716107941061
1.2,0.0002517522967123687
1.24,0.000255248356349237
1.28,0.0002587603969034759
1.320000000000001,0.0002622889538807104
1.360000000000001,0.0002658345026295911
1.400000000000001,0.0002693974676158494
1.440000000000001,0.0002729782299252374
1.480000000000001,0.0002765771333721736
1.520000000000001,0.0002801944895050886
1.560000000000001,0.0002838305817343854
1.600000000000001,0.0002874856687591634
1.640000000000001,0.0002911599874308812
1.680000000000001,0.0002948537551625905
1.720000000000001,0.0002985671719695689
1.760000000000001,0.0003023004222094671
1.800000000000001,0.0003060536760762149
1.840000000000001,0.0003098270908910087
1.880000000000001,0.0003136208122250985
1.920000000000001,0.000317434974882527
1.960000000000001,0.0003212697037653117
2,0.000325125114639673
